"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"TXRCBUS","199101","1105.401","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199102","871.423","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199103","779.399","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199104","544.543","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199105","382.771","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199106","292.118","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199107","274.448","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199108","265.211","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199109","280.79","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199110","396.616","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199111","659.519","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199112","895.248","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199113","6746.178","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199201","1042.78","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199202","913.846","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199203","789.901","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199204","614.524","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199205","409.078","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199206","310.102","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199207","281.546","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199208","268.034","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199209","303.646","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199210","416.917","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199211","635.278","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199212","964.663","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199213","6949.499","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199301","1068.704","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199302","995.474","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199303","931.346","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199304","632.337","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199305","387.136","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199306","309.449","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199307","277.073","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199308","275.475","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199309","291.173","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199310","400.689","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199311","638.631","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199312","933.695","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199313","7140.432","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199401","1216.71","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
